"Diameter","Weight"
0.28,0.217
0.495,1.0805
0.345,0.4285
0.525,1.429
0.51,1.527
0.565,1.938
0.325,0.346
0.29,0.304
0.355,0.5195
0.48,1.192
0.44,0.7665
0.35,0.4445
0.51,1.3805
0.345,0.869
0.455,0.9215
0.375,0.5785
0.495,1.1115
0.465,1.195
0.45,0.9625
0.28,0.234
0.39,0.6125
0.475,1.213
0.515,1.3405
0.365,0.566
0.495,1.211
0.35,0.487
0.45,0.8665
0.425,0.8205
0.365,0.467
0.385,0.568
0.44,1.0905
0.46,1.0375
0.365,0.459
0.475,0.895
0.265,0.2015
0.56,1.981
0.5,1.438
0.44,0.971
0.44,0.838
0.545,1.7405
0.515,1.4605
0.525,1.348
0.37,0.5265
0.505,1.6305
0.345,0.3215
0.47,1.1735
0.29,0.2285
0.5,1.642
0.42,1.3405
0.27,0.2175
